opportunity_id,account_name,deal_value,stage,probability,expected_close_date,created_date,product_line,sales_rep,region,last_activity_date
OPP-2026-0001,Sterling Financial,94000,Qualification,25,2026-01-11,2025-11-02,Cloud Services,Marcus Johnson,South,2026-03-13
OPP-2026-0002,Flint Analytics,41000,Proposal,50,2026-04-08,2026-02-28,Cloud Services,Amanda Foster,East,2026-03-05
OPP-2026-0003,Silverline Consulting,29000,Negotiation,75,2025-10-12,2025-09-07,SaaS Platform,Kevin O'Brien,South,2026-03-08
OPP-2026-0004,Granite Logistics,23000,Qualification,25,2026-03-20,2026-02-12,Managed Services,Laura Patel,West,2026-03-16
OPP-2026-0005,Driftwood Digital,23000,Proposal,50,2025-12-23,2025-09-28,Enterprise Software,Stephanie Cruz,East,2026-03-20
OPP-2026-0006,Foundry Systems,46000,Closed Lost,0,2026-01-02,2025-11-29,Data Analytics,Marcus Johnson,East,2026-01-06
OPP-2026-0007,Foundry Systems,54000,Proposal,50,2026-05-16,2026-01-30,Data Analytics,Nathan Ellis,East,2026-03-31
OPP-2026-0008,Driftwood Digital,68000,Negotiation,75,2025-10-19,2025-08-15,Data Analytics,David Chen,East,2026-03-26
OPP-2026-0009,Falcon Industries,30000,Closed Lost,0,2025-10-07,2025-07-01,Cloud Services,Tyler Brooks,North,2025-09-21
OPP-2026-0010,Sapphire Consulting,139000,Closed Lost,0,2025-10-31,2025-07-23,Professional Services,Laura Patel,East,2025-10-16
OPP-2026-0011,Palladium Services,32000,Qualification,25,2026-06-10,2026-03-30,Data Analytics,Emily Rodriguez,South,2026-03-31
OPP-2026-0012,Cobalt Networks,38000,Negotiation,75,2026-04-02,2026-01-31,Professional Services,Diana Nguyen,South,2026-03-14
OPP-2026-0013,Cypress Data,74000,Prospecting,10,2026-05-10,2026-03-21,Cybersecurity,Sarah Mitchell,North,2026-03-28
OPP-2026-0014,Southfield Industries,53000,Closed Won,100,2025-12-28,2025-10-08,Professional Services,Kevin O'Brien,East,2025-12-22
OPP-2026-0015,Thornton & Associates,17000,Proposal,50,2026-04-29,2026-01-16,Data Analytics,Emily Rodriguez,North,2026-03-04
OPP-2026-0016,Westbrook Partners,42000,Qualification,25,2026-05-20,2026-03-12,Professional Services,Diana Nguyen,West,2026-03-20
OPP-2026-0017,Cobblestone Media,201000,Closed Lost,0,2025-10-23,2025-06-26,Cloud Services,Stephanie Cruz,West,2025-10-09
OPP-2026-0018,Luminary Group,15000,Negotiation,75,2026-04-19,2026-02-01,Professional Services,Stephanie Cruz,East,2026-03-22
OPP-2026-0019,Flint Analytics,30000,Closed Won,100,2025-11-03,2025-08-28,Hardware & Infrastructure,Laura Patel,East,2025-10-22
OPP-2026-0020,Foundry Systems,76000,Closed Won,100,2025-10-24,2025-07-13,Cloud Services,Diana Nguyen,West,2025-10-28
OPP-2026-0021,Westbrook Partners,109000,Negotiation,75,2026-03-28,2026-02-18,Hardware & Infrastructure,Nathan Ellis,East,2026-03-31
OPP-2026-0022,Topaz Solutions,80000,Closed Lost,0,2026-02-21,2025-10-28,SaaS Platform,Laura Patel,South,2026-02-01
OPP-2026-0023,Northgate Solutions,32000,Closed Won,100,2026-03-17,2025-12-16,Cloud Services,Sarah Mitchell,East,2026-03-10
OPP-2026-0024,Silverstone Media,21000,Negotiation,75,2025-12-15,2025-09-03,Data Analytics,Sarah Mitchell,South,2026-03-16
OPP-2026-0025,Harbor View Financial,9000,Proposal,50,2026-02-12,2025-11-03,SaaS Platform,Laura Patel,East,2026-03-09
OPP-2026-0026,Vertex Capital,52000,Qualification,25,2026-04-04,2026-03-04,Professional Services,Emily Rodriguez,East,2026-03-26
OPP-2026-0027,Highpoint Consulting,65000,Proposal,50,2025-10-11,2025-07-22,Data Analytics,Kevin O'Brien,East,2026-03-07
OPP-2026-0028,Summit Enterprises,76000,Negotiation,75,2026-03-13,2026-02-11,Data Analytics,Marcus Johnson,East,2026-03-25
OPP-2026-0029,Northstar Analytics,49000,Negotiation,75,2026-02-21,2025-10-31,Enterprise Software,Brandon Walsh,South,2026-03-13
OPP-2026-0030,Topaz Solutions,102000,Closed Won,100,2026-03-03,2025-11-26,Data Analytics,Laura Patel,West,2026-02-24
OPP-2026-0031,Diamond Networks,188000,Proposal,50,2025-10-05,2025-07-20,Managed Services,Sarah Mitchell,North,2026-03-25
OPP-2026-0032,Fieldstone Advisors,46000,Proposal,50,2026-01-23,2025-09-25,Cybersecurity,Stephanie Cruz,South,2026-03-26
OPP-2026-0033,Chalk Industries,32000,Prospecting,10,2026-05-16,2026-03-30,Professional Services,David Chen,South,2026-03-31
OPP-2026-0034,Cobblestone Media,6000,Negotiation,75,2025-11-14,2025-08-15,Data Analytics,Nathan Ellis,North,2026-03-18
OPP-2026-0035,Clearwater Health,61000,Closed Lost,0,2025-10-15,2025-06-21,Hardware & Infrastructure,James Thornton,South,2025-10-19
OPP-2026-0036,Westbrook Partners,30000,Prospecting,10,2026-06-24,2026-03-21,Data Analytics,Kevin O'Brien,East,2026-03-21
OPP-2026-0037,Cornerstone IT,25000,Prospecting,10,2026-06-09,2026-03-30,Cybersecurity,James Thornton,East,2026-03-31
OPP-2026-0038,Cascade Partners,65000,Qualification,25,2026-06-10,2026-02-13,Enterprise Software,Marcus Johnson,West,2026-03-27
OPP-2026-0039,Cornerstone IT,39000,Negotiation,75,2026-03-13,2025-12-31,Data Analytics,Rachel Kim,East,2026-03-28
OPP-2026-0040,Summit Enterprises,26000,Closed Won,100,2025-10-15,2025-07-11,Cybersecurity,Kevin O'Brien,South,2025-10-01
OPP-2026-0041,Topaz Solutions,83000,Negotiation,75,2026-04-30,2026-02-07,Enterprise Software,Marcus Johnson,North,2026-03-18
OPP-2026-0042,Ironwood Manufacturing,25000,Proposal,50,2026-02-01,2025-10-30,Professional Services,Nathan Ellis,East,2026-03-26
OPP-2026-0043,Goldcrest Analytics,58000,Qualification,25,2026-06-27,2026-03-30,Managed Services,Marcus Johnson,East,2026-03-31
OPP-2026-0044,Coppercrest Software,58000,Proposal,50,2026-04-24,2026-01-29,Hardware & Infrastructure,David Chen,South,2026-03-31
OPP-2026-0045,Meridian Global,47000,Negotiation,75,2026-04-03,2026-02-25,Cybersecurity,Stephanie Cruz,South,2026-03-08
OPP-2026-0046,Broadridge Media,18000,Negotiation,75,2026-04-11,2026-03-01,Professional Services,Brandon Walsh,South,2026-03-01
OPP-2026-0047,Thornton & Associates,24000,Closed Lost,0,2025-11-12,2025-07-16,Cloud Services,Brandon Walsh,South,2025-10-30
OPP-2026-0048,Willow Creek Software,50000,Proposal,50,2026-05-15,2026-02-15,Cloud Services,James Thornton,East,2026-03-27
OPP-2026-0049,Broadridge Media,104000,Negotiation,75,2026-05-03,2026-01-11,Managed Services,Sarah Mitchell,East,2026-03-06
OPP-2026-0050,Sterling Financial,43000,Proposal,50,2025-11-08,2025-09-14,Cybersecurity,Tyler Brooks,East,2026-03-08
OPP-2026-0051,Amber Wave Solutions,91000,Negotiation,75,2026-04-15,2026-01-28,Cybersecurity,Emily Rodriguez,North,2026-03-16
OPP-2026-0052,Cedarwood Capital,83000,Negotiation,75,2026-04-25,2026-02-28,Enterprise Software,David Chen,East,2026-03-15
OPP-2026-0053,Pumice Analytics,37000,Closed Won,100,2025-10-12,2025-07-20,Cloud Services,David Chen,South,2025-10-12
OPP-2026-0054,Emerald Systems,91000,Closed Lost,0,2025-11-23,2025-10-05,Professional Services,Marcus Johnson,South,2025-11-21
OPP-2026-0055,Highpoint Consulting,37000,Closed Lost,0,2026-03-16,2026-01-27,Cloud Services,Laura Patel,East,2026-03-15
OPP-2026-0056,Ironclad Software,70000,Negotiation,75,2026-04-16,2026-01-28,Cybersecurity,Emily Rodriguez,West,2026-03-13
OPP-2026-0057,Basalt Technologies,48000,Closed Lost,0,2025-10-06,2025-07-21,Managed Services,Laura Patel,East,2025-10-07
OPP-2026-0058,Granite Logistics,30000,Prospecting,10,2026-06-11,2026-03-30,Professional Services,Nathan Ellis,East,2026-03-30
OPP-2026-0059,Harbor View Financial,92000,Qualification,25,2025-10-05,2025-07-23,Enterprise Software,Diana Nguyen,East,2026-03-12
OPP-2026-0060,Luminary Group,38000,Closed Lost,0,2026-02-03,2025-12-23,Enterprise Software,Emily Rodriguez,East,2026-02-01
OPP-2026-0061,Diamond Networks,46000,Proposal,50,2025-12-21,2025-10-10,Professional Services,Emily Rodriguez,South,2026-03-27
OPP-2026-0062,Pinnacle Solutions,30000,Proposal,50,2026-04-05,2026-01-31,Cloud Services,Rachel Kim,North,2026-03-04
OPP-2026-0063,Ironwood Manufacturing,83000,Qualification,25,2026-05-05,2026-01-28,Managed Services,Sarah Mitchell,East,2026-03-01
OPP-2026-0064,Coppercrest Software,38000,Qualification,25,2026-06-20,2026-03-30,Professional Services,Brandon Walsh,South,2026-03-31
OPP-2026-0065,Skyline Networks,164000,Qualification,25,2026-01-14,2025-10-25,Managed Services,Marcus Johnson,East,2026-03-13
OPP-2026-0066,Driftwood Digital,11000,Closed Lost,0,2025-12-29,2025-09-11,Data Analytics,Brandon Walsh,West,2025-12-12
OPP-2026-0067,Crossroads Digital,101000,Qualification,25,2026-06-16,2026-03-05,Cloud Services,Stephanie Cruz,South,2026-03-07
OPP-2026-0068,Obsidian Capital,184000,Negotiation,75,2026-04-23,2025-12-25,Data Analytics,Tyler Brooks,North,2026-03-19
OPP-2026-0069,Sandstone Systems,84000,Closed Won,100,2025-11-23,2025-08-27,Cybersecurity,Laura Patel,North,2025-11-10
OPP-2026-0070,Crossroads Digital,78000,Qualification,25,2025-11-26,2025-08-29,SaaS Platform,Nathan Ellis,West,2026-03-20
OPP-2026-0071,Southfield Industries,41000,Closed Lost,0,2025-12-31,2025-10-27,Hardware & Infrastructure,James Thornton,East,2025-12-16
OPP-2026-0072,Clearwater Health,20000,Qualification,25,2026-05-23,2026-02-21,Managed Services,Stephanie Cruz,West,2026-03-21
OPP-2026-0073,Midland Dynamics,22000,Closed Lost,0,2025-12-04,2025-10-05,Enterprise Software,Kevin O'Brien,West,2025-12-01
OPP-2026-0074,Ember Innovations,55000,Closed Won,100,2026-03-28,2026-01-30,SaaS Platform,Marcus Johnson,South,2026-03-11
OPP-2026-0075,Midpoint Analytics,38000,Closed Lost,0,2026-01-21,2025-11-14,Cybersecurity,Marcus Johnson,South,2026-01-09
OPP-2026-0076,Northstar Analytics,29000,Prospecting,10,2026-06-20,2026-03-30,Managed Services,Emily Rodriguez,South,2026-03-31
OPP-2026-0077,Cornerstone IT,138000,Negotiation,75,2026-03-19,2025-11-27,Enterprise Software,James Thornton,East,2026-03-25
OPP-2026-0078,Basalt Technologies,137000,Negotiation,75,2026-04-09,2026-01-20,Enterprise Software,Laura Patel,East,2026-03-07
OPP-2026-0079,Quartz Technologies,51000,Negotiation,75,2026-04-10,2026-02-09,Enterprise Software,Marcus Johnson,North,2026-03-13
OPP-2026-0080,Pinnacle Solutions,177000,Qualification,25,2025-11-27,2025-08-30,Enterprise Software,James Thornton,West,2026-03-18
OPP-2026-0081,Ember Innovations,47000,Closed Won,100,2026-01-25,2025-12-10,Data Analytics,Marcus Johnson,South,2026-01-30
OPP-2026-0082,Clearwater Health,126000,Proposal,50,2026-04-04,2026-02-28,SaaS Platform,Tyler Brooks,North,2026-03-02
OPP-2026-0083,Southfield Industries,36000,Negotiation,75,2026-01-10,2025-10-15,Hardware & Infrastructure,Kevin O'Brien,West,2026-03-23
OPP-2026-0084,Wavecrest Ventures,10000,Closed Won,100,2026-03-12,2026-01-30,Hardware & Infrastructure,Nathan Ellis,West,2026-03-15
OPP-2026-0085,Foxglove Analytics,43000,Proposal,50,2026-05-14,2026-02-17,Enterprise Software,Rachel Kim,West,2026-03-18
OPP-2026-0086,Quartz Technologies,24000,Proposal,50,2026-03-08,2025-12-03,Managed Services,Stephanie Cruz,South,2026-03-23
OPP-2026-0087,Cornerstone IT,56000,Qualification,25,2026-06-27,2026-03-30,Managed Services,Brandon Walsh,East,2026-03-31
OPP-2026-0088,Southfield Industries,105000,Qualification,25,2026-01-20,2025-12-02,Hardware & Infrastructure,Laura Patel,East,2026-03-12
OPP-2026-0089,Westbrook Partners,23000,Prospecting,10,2026-06-19,2026-03-09,Cybersecurity,Brandon Walsh,West,2026-03-19
OPP-2026-0090,Ironclad Software,20000,Closed Lost,0,2025-12-02,2025-10-29,SaaS Platform,Tyler Brooks,East,2025-11-14
OPP-2026-0091,Foundry Systems,19000,Negotiation,75,2026-05-13,2026-01-20,Data Analytics,Kevin O'Brien,West,2026-03-20
OPP-2026-0092,Ruby Dynamics,109000,Prospecting,10,2026-06-30,2026-03-30,Cybersecurity,Diana Nguyen,East,2026-03-31
OPP-2026-0093,Cypress Data,57000,Qualification,25,2026-06-23,2026-03-15,Hardware & Infrastructure,Diana Nguyen,South,2026-03-21
OPP-2026-0094,Southfield Industries,51000,Negotiation,75,2025-10-11,2025-08-26,Enterprise Software,James Thornton,North,2026-03-24
OPP-2026-0095,Cobalt Networks,40000,Prospecting,10,2026-06-08,2026-02-20,Professional Services,Diana Nguyen,North,2026-03-07
OPP-2026-0096,Northgate Solutions,34000,Proposal,50,2026-03-22,2026-02-01,SaaS Platform,Amanda Foster,North,2026-03-03
OPP-2026-0097,Granite Logistics,64000,Closed Lost,0,2026-02-03,2025-11-05,SaaS Platform,Tyler Brooks,West,2026-01-18
OPP-2026-0098,Skyline Networks,23000,Closed Lost,0,2025-12-03,2025-08-28,Hardware & Infrastructure,Stephanie Cruz,North,2025-11-26
OPP-2026-0099,Meridian Global,166000,Qualification,25,2026-06-09,2026-02-19,SaaS Platform,Stephanie Cruz,South,2026-03-03
OPP-2026-0100,Cypress Data,63000,Closed Lost,0,2025-10-14,2025-06-22,Professional Services,Laura Patel,South,2025-10-01
OPP-2026-0101,Eastgate Corp,9000,Closed Won,100,2025-12-14,2025-10-11,Managed Services,Amanda Foster,East,2025-12-04
OPP-2026-0102,Cypress Data,32000,Closed Won,100,2025-12-02,2025-10-05,Data Analytics,Stephanie Cruz,East,2025-11-11
OPP-2026-0103,Vantage Point LLC,215000,Qualification,25,2026-05-22,2026-03-30,Managed Services,Rachel Kim,East,2026-03-31
OPP-2026-0104,Willow Creek Software,100000,Qualification,25,2026-05-24,2026-02-27,Cloud Services,David Chen,West,2026-03-11
OPP-2026-0105,Southfield Industries,33000,Negotiation,75,2026-01-02,2025-09-21,Cybersecurity,Laura Patel,West,2026-03-01
OPP-2026-0106,Fieldstone Advisors,30000,Closed Lost,0,2026-03-13,2025-11-22,Professional Services,James Thornton,South,2026-03-02
OPP-2026-0107,Foxglove Analytics,110000,Closed Lost,0,2025-12-03,2025-09-22,Data Analytics,Marcus Johnson,North,2025-11-21
OPP-2026-0108,Diamond Networks,86000,Negotiation,75,2025-11-07,2025-09-11,Hardware & Infrastructure,Emily Rodriguez,East,2026-03-19
OPP-2026-0109,Pinnacle Solutions,19000,Prospecting,10,2026-06-13,2026-03-30,Managed Services,Tyler Brooks,North,2026-03-31
OPP-2026-0110,Cypress Data,84000,Closed Lost,0,2026-01-27,2025-12-25,Enterprise Software,Tyler Brooks,East,2026-01-26
OPP-2026-0111,Willow Creek Software,12000,Negotiation,75,2026-02-07,2025-12-14,Cybersecurity,David Chen,North,2026-03-18
OPP-2026-0112,Riverstone Inc,14000,Negotiation,75,2026-04-25,2026-01-01,Cybersecurity,Laura Patel,West,2026-03-24
OPP-2026-0113,Cascade Partners,32000,Negotiation,75,2025-10-30,2025-07-11,Cybersecurity,Kevin O'Brien,East,2026-03-11
OPP-2026-0114,Flint Analytics,30000,Prospecting,10,2026-06-18,2026-03-30,Professional Services,Stephanie Cruz,East,2026-03-30
OPP-2026-0115,Onyx Industries,21000,Qualification,25,2026-06-10,2026-03-30,Cybersecurity,Sarah Mitchell,East,2026-03-31
OPP-2026-0116,Quartz Technologies,37000,Negotiation,75,2025-10-14,2025-06-29,Cybersecurity,Marcus Johnson,West,2026-03-29
OPP-2026-0117,Shale Solutions,12000,Proposal,50,2026-01-06,2025-10-18,Managed Services,Brandon Walsh,East,2026-03-10
OPP-2026-0118,Midpoint Analytics,19000,Negotiation,75,2025-11-28,2025-10-17,SaaS Platform,Diana Nguyen,North,2026-03-17
OPP-2026-0119,Blueridge Energy,45000,Closed Won,100,2026-01-21,2025-11-17,Cloud Services,Rachel Kim,East,2025-12-31
OPP-2026-0120,Benchmark Global,25000,Closed Lost,0,2025-11-05,2025-08-08,SaaS Platform,Rachel Kim,West,2025-10-27
OPP-2026-0121,Ember Innovations,89000,Prospecting,10,2026-06-02,2026-02-11,Data Analytics,Tyler Brooks,North,2026-03-19
OPP-2026-0122,Compass Enterprises,84000,Closed Won,100,2026-03-09,2026-01-28,Cybersecurity,Laura Patel,North,2026-02-17
OPP-2026-0123,Ruby Dynamics,88000,Closed Won,100,2026-02-11,2025-12-14,Professional Services,Stephanie Cruz,West,2026-02-05
OPP-2026-0124,Sandstone Systems,146000,Closed Lost,0,2025-10-30,2025-08-13,Cybersecurity,Brandon Walsh,North,2025-11-04
OPP-2026-0125,Pinnacle Solutions,29000,Closed Lost,0,2025-11-30,2025-09-25,Enterprise Software,Amanda Foster,West,2025-11-12
OPP-2026-0126,Foxglove Analytics,77000,Closed Lost,0,2025-10-13,2025-07-27,Professional Services,Stephanie Cruz,East,2025-10-08
OPP-2026-0127,Highpoint Consulting,34000,Proposal,50,2025-11-08,2025-08-21,SaaS Platform,Sarah Mitchell,South,2026-03-03
OPP-2026-0128,Silverstone Media,36000,Closed Lost,0,2025-11-12,2025-08-06,SaaS Platform,Marcus Johnson,West,2025-10-24
OPP-2026-0129,Falcon Industries,54000,Negotiation,75,2026-04-20,2026-02-21,Cybersecurity,Emily Rodriguez,North,2026-03-26
OPP-2026-0130,Atlas Technologies,15000,Negotiation,75,2025-10-01,2025-08-23,Cybersecurity,Amanda Foster,South,2026-03-03
OPP-2026-0131,Compass Enterprises,54000,Proposal,50,2026-04-03,2026-01-16,Hardware & Infrastructure,Emily Rodriguez,South,2026-03-22
OPP-2026-0132,Falcon Industries,76000,Closed Lost,0,2025-12-08,2025-10-26,Enterprise Software,Kevin O'Brien,East,2025-11-20
